Item_ID	Sentence	NP	RC	MatSubj	MatV	Det	HeadNoun	HeadSpecificity	Matrix Clause Structure	Adjacency	Type of Antecedent	Relativizer	RCSubj	RCSubjType	RClength	Comments	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_Age	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
79176:160	it is *t*-2 0 you're doing *t*-7	*t*-2	0 you're doing *t*-7	it	is	*t*-2	what	empty	cleft	2	pronoun	0	you	2pro	2	"Head extracted:  full example is ""letting you understand more of what it is you're doing"""	1236	" ""FEMALE"""	1965	25	" ""SOUTH MIDLAND"""	2	" ""CASH"""	22	40	B	2893	356	EXERCISE AND FITNESS	1	2	3
88616:62	it is *t*-3 0 you want *-4 to do *t*-5	*t*-3	0 you want *-4 to do *t*-5	it	is	0	whatever	empty	cleft	2	pronoun	0	you	2pro	4	"Head extracted:  full example is ""a school that handles whatever it is you want to do"""	1229	" ""FEMALE"""	1950	40	" ""NORTHERN"""	3	" ""CASH"""	30	68	A	3051	343	HOUSES	3	1	1
2215:25:00	"that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,"	"the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now"	"0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now"		is	the	thing	empty	copula	2	definite	0	i	1pro	3		1138	" ""FEMALE"""	1961	29	" ""SOUTH MIDLAND"""	2	" ""CASH"""	53	106	A	2022	357	FAMILY FINANCE	1	1	1
111038:9	"this is my third, third house i think, 0 i've owned *t*-1, um,"	"my third, third house i think, 0 i've owned *t*-1"	0 i've owned *t*-1	this	is	my	house	nonempty	copula	2	unique	0	i	1pro	2		1351	" ""FEMALE"""	1955	35	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	62	86	B	3259	316	RESTAURANTS	1	1	1
138132:8	"uh, one thing 0 i think 0 i've noticed *t*-1 is, uh,"	one thing 0 i think 0 i've noticed *t*-1	0 i think 0 i've noticed *t*-1	 0 i've noticed *t*-1	is	one	thing	empty	copula	2	indefinite	0	i	1pro	2		1477	" ""MALE"""	1957	33	" ""NORTH MIDLAND"""	2	" ""CASH"""	7	8	A	3688	351	PETS	2	4	2
30006:27	"uh, at least that's one number for this range of numbers 0 i have, 0 i have heard *t*-1."	"this range of numbers 0 i have, 0 i have heard *t*-1"	"0 i have, 0 i have heard *t*-1"	that		this	range	nonempty	copula	2	indefinite	0	i	1pro	3	"This could be counted from the first or the second rephrase of the relativier clause. The first number in columns J and N is for the first repetition. The second number is for the second repetition.  I decided to treat the first ""I heard"" as a disfluency"	1096	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	118	216	B	2405	325	COMPUTERS	2	1	1
66536:9	"these are the kind of people 0 i would like *-1 to ye-, get *t*-2 out of here and get *t*-2 out of circulation and say i don't, we don't accept your kind in our society."	"the kind of people 0 i would like *-1 to ye-, get *t*-2 out of here and get *t*-2 out of circulation and say i don't, we don't accept your kind in our society"	"0 i would like *-1 to ye-, get *t*-2 out of here and get *t*-2 out of circulation and say i don't, we don't accept your kind in our society"	these	are	the	kind	empty	copula	2	definite	0	i	1pro	25	Did not count partial words in the RC length.	1237	" ""MALE"""	1965	25	" ""NORTH MIDLAND"""	2	" ""CASH"""	100	171	A	2724	356	EXERCISE AND FITNESS	2	2	2
81645:51	"but prices in plano, there isn't, um, there isn't a section in plano 0 you can really move to *t*-1 without *-3 getting caught *-2"	a section in plano 0 you can really move to *t*-1 without *-3 getting caught *-2	0 you can really move to *t*-1 without *-3 getting caught *-2	there	is	a	section	nonempty	existential	2	indefinite	0	you	2pro	5		1171	" ""MALE"""	1956	34	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	55	102	B	2945	358	FAMILY LIFE	2	3	2
130668:51	"there is a lot of things that you can recycle *t*-1 down here, although the only thing 0 i guess 0 i wind up *-3 recycling *t*-2 religiously is, uh, aluminum cans."	the only thing 0 i guess 0 i wind up *-3 recycling *t*-2 religiously	0 i guess 0 i wind up *-3 recycling *t*-2 religiously	the only thing 0 i guess 0 i wind up *-3 recycling *t*-2 religiously	is	the	thing	empty	lone head	2	unique	0	i	1pro	7		1464	" ""MALE"""	1959	31	" ""WESTERN"""	2	" ""CASH"""	6	19	B	3537	342	UNIVERSAL HEALTH INS	1	1	1
33551:69	and then like they had about three feet of linoleum around the perimeter in the back where i usually stand *t*-2 in any class like that 0 i go to *t*-1.	any class like that 0 i go to *t*-1	0 i go to *t*-1	i	stand	any	class	nonempty	lone head	2	pronoun	0	i	1pro	3	"The RC begins with the 0.  It's in a sencen modifier, so lone NP"	1019	" ""MALE"""	1941	49	" ""NEW ENGLAND"""	3	" ""GIFT"""	82	147	B	2434	314	GUN CONTROL	2	1	1
163886:14	they don't have anything really important 0 you want *-1 to hear *t*-2.	anything really important 0 you want *-1 to hear *t*-2	0 you want *-1 to hear *t*-2	they	have	anything	anything	empty	possessive	2	pronoun	0	you	2pro	4		1569	" ""MALE"""	1962	28	" ""NORTHERN"""	3	" ""CASH"""	23	40	A	4356	320	BUYING A CAR	1	1	1
107525:11	"but that is an excuse 0 and that would, i could live with *t*-1."	"an excuse 0 and that would, i could live with *t*-1"	"0 and that would, i could live with *t*-1"	that	is	an	excuse	nonempty	copula	3	indefinite	0	i	1pro	4		1355	" ""MALE"""	1968	22	" ""SOUTH MIDLAND"""	3	" ""CASH"""	27	41	A	3227	308	MUSIC	1	1	1
157097:46	"the, the question is, you know, the other qu-, problem with capital punishment 0 you run into *t*-1 is, what are you going *-2 to do *t*-5 about people who *t*-3 are later *-6 to have been found *-4 innocent, you know?"	"the other qu-, problem with capital punishment 0 you run into *t*-1"	0 you run into *t*-1	"the other qu-, problem with capital punishment 0 you run into *t*-1"	is	the	problem	nonempty	copula	3	definite	0	you	2pro	3		1580	" ""FEMALE"""	1972	18	" ""SOUTHERN"""	2	" ""CASH"""	101	132	A	4155	340	TAXES	1	1	1
33931:8	"well, anything else about exercise 0 we can talk about *t*-1."	anything else about exercise 0 we can talk about *t*-1	0 we can talk about *t*-1			anything	anything	empty	lone head	3	pronoun	0	we	1pro	4		1115	" ""MALE"""	1958	32	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	81	133	A	2435	348	MOVIES	2	2	1
108888:40	"and so, uh, because based on the number of children and the amount of money, uh, 0 my father brought *t*-1 in, i got a small grant"	"the amount of money, uh, 0 my father brought *t*-1 in"	0 my father brought *t*-1 in	i	got	the	amount	nonempty	other	3	definite	0	my father	other	4	"Counted ""um"" as part of the nonadjacency.  Definitely not possessive; called it other.  And if amount is the head, then the RC is separated from it by 3 words"	1004	" ""FEMALE"""	1958	32	" ""NORTHERN"""	2	" ""GIFT"""	150	181	B	3237	343	HOUSES	1	1	1
2311:19:00	"and, and the last book, uh, matter of fact 0 i read *t*-1 was, at america's service by carl albrecht."	"the last book, uh, matter of fact 0 i read *t*-1"	0 i read *t*-1	"the last book, uh, matter of fact 0 i read *t*-1"	was	the	book	nonempty	copula	4	unique	0	i	1pro	2		1061	" ""MALE"""	1957	33	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	22	45	B	2024	311	BOOKS AND LITERATURE	1	1	1
54589:6	"well one movie 0 we saw *t*-1 in the last couple of months that we really enjoyed *t*-2 was, uh, edward scissorhands."	one movie 0 we saw *t*-1 in the last couple of months that we really enjoyed *t*-2	0 we saw *t*-1 in the last couple of months	one movie 0 we saw *t*-1 in the last couple of months that we really enjoyed *t*-2	was	one	movie	nonempty	copula	7	indefinite	0	we	1pro	4		1122	" ""MALE"""	1964	26	" ""SOUTH MIDLAND"""	9	" ""GIFT"""	14	43	B	2602	338	SOVIET UNION	1	1	2
45689:8	"um, the last thing 0 he chewed *t*-1 up was, uh, when we..."	the last thing 0 he chewed *t*-1 up	0 he chewed *t*-1 up	the last thing 0 he chewed *t*-1 up	was	the	thing	empty	copula	adjaceent	unique	0	he	3pro	3		1042	" ""FEMALE"""	1938	52	" ""NEW ENGLAND"""	1	" ""CASH"""	56	95	B	2525	312	CRIME	1	1	1
50645:3	"the only thing 0 i've done *t*-1 to it is * just add a, uh, add a mouse and a hard drive."	the only thing 0 i've done *t*-1 to it	0 i've done *t*-1 to it	the only thing 0 i've done *t*-1 to it	is	the	thing	empty	copula	adjacenet	unique	0	i	1pro	4		1211	" ""MALE"""	1964	26	" ""SOUTH MIDLAND"""	2	" ""CASH"""	60	114	A	2565	365	BASEBALL	2	1	1
66129:6	"or something 0 you haven't paid *t*-1 in sixty days or ninety days, you know. and things like that."	something 0 you haven't paid *t*-1 in sixty days or ninety days	0 you haven't paid *t*-1 in sixty days or ninety days			something	something	empty	lone head	adjacenet	pronoun	0	you	2pro	11		1142	" ""MALE"""	1963	27	" ""NORTHERN"""	2	" ""GIFT"""	86	192	B	2719	356	EXERCISE AND FITNESS	2	3	1
14439:35	it was his shoulder 0 he had surgery on *t*-1	his shoulder	0 he had surgery on *t*-1	it	was	his	shoulder	nonempty	cleft	adjacent	definite	0	he	3pro	4		1123	" ""FEMALE"""	1956	34	" ""SOUTH MIDLAND"""	3	" ""CASH"""	34	56	B	2160	312	CRIME	2	1	1
28767:49	it's just that left knee that *t*-1 just doesn't want *-2 to do everything 0 it used *-4 to *?* *t*-3.	everything 0 it used *-4 to *?* *t*-3	0 it used *-4 to *?* *t*-3	knee	do	everything	everything	empty	cleft	adjacent	definite	0	it	3pro	3		1055	" ""FEMALE"""	1965	25	" ""SOUTH MIDLAND"""	2	" ""CASH"""	39	53	A	2395	349	NEWS MEDIA	2	3	1
27326:9	"it's an interesting, interesting thing 0 you want *-2 to do *t*-1."	"an interesting, interesting thing 0 you want *-2 to do *t*-1"	0 you want *-2 to do *t*-1	it	is	an	thing	empty	cleft	adjacent	indefinite	0	you	2pro	4	"I left this as ""cleft"", though ""it"" arguably refers to the thing you want to do."	1119	" ""MALE"""	1946	44	" ""MIXED"""	3	" ""CASH"""	50	115	B	2366	308	MUSIC	2	1	1
136855:19	"whereas, uh, i'm the type of person, 0 *t*-1 i could not sit,"	"the type of person, 0 *t*-1 i could not sit"	0 *t*-1 i could not sit	i	am	the type	person	empty	copula	adjacent	definite	0	*t*-1 i	1pro	4		1466	" ""FEMALE"""	1957	33	" ""WESTERN"""	2	" ""CASH"""	26	47	B	3655	323	CHILD CARE	2	2	3
166625:33	rugby is definitely big in college because it's something 0 a bunch of fraternity guys can get together and get a good beer buzz going and do *t*-1.	something 0 a bunch of fraternity guys can get together and get a good beer buzz going and do *t*-1	0 a bunch of fraternity guys can get together and get a good beer buzz going and do *t*-1	it	is	something	something	empty	copula	adjacent	indefinite	0	a bunch of fraternity guys	other	17		1190	" ""MALE"""	1941	49	" ""NYC"""	3	" ""GIFT"""	35	56	A	4548	322	CAPITAL PUNISHMENT	1	1	1
156011:160	"uh, the other, the other thing that, uh, *t*-1 bothers me about our system is just that, uh, in, for, for, in, in, in congress the amount of power 0 any, any particular congress critter has *t*-2 is based *-4 on their seniority and how long they've been there *t*-3"	"the amount of power 0 any, any particular congress critter has *t*-2"	"0 any, any particular congress critter has *t*-2"	The other thing that bothers me about the system we have now	is	the	amount	nonempty	copula	adjacent	indefinite	0	any particular congress critter	other	6		1447	" ""FEMALE"""	1950	40	" ""SOUTH MIDLAND"""	3	" ""CASH"""	10	13	B	4150	358	FAMILY LIFE	1	1	1
66151:49	"i would think 0 it wouldn't be, you know, much more than the eighteen or nineteen percent 0 everyone else charges *t*-1."	the eighteen or nineteen percent 0 everyone else charges *t*-1	0 everyone else charges *t*-1	it	be	the	percent	nonempty	copula	adjacent	definite	0	everyone else	other	3		1031	" ""FEMALE"""	1940	50	" ""SOUTH MIDLAND"""	3	" ""GIFT"""	97	203	A	2719	356	EXERCISE AND FITNESS	2	3	1
768:19:00	"and, and the self-satisfaction 0 he got *t*-2 out of it is much greater than any awards that they can give *t*-1 him."	the self-satisfaction 0 he got *t*-2 out of it	0 he got *t*-2 out of it	the self-satisfaction 0 he got *t*-2 out of it	is	the	self-satisfaction	nonempty	copula	adjacent	definite	0	he	3pro	5		1027	" ""FEMALE"""	1961	29	" ""NORTH MIDLAND"""	2	" ""CASH"""	50	112	B	2010	348	MOVIES	1	1	1
6667:05:00	"and the only good thing 0 he could ever say *t*-1 about, uh, the whole roosevelt administration was, uh, civilian conservation corps,"	"the only good thing 0 he could ever say *t*-1 about, uh, the whole roosevelt administration"	"0 he could ever say *t*-1 about, uh, the whole roosevelt administration"	"the only good thing 0 he could ever say *t*-1 about, uh, the whole roosevelt administration"	was	the	thing	empty	copula	adjacent	unique	0	he	3pro	9		1064	" ""FEMALE"""	1951	39	" ""NORTHERN"""	9	" ""GIFT"""	64	104	B	2065	327	UNIVERSAL PBLIC SERV	1	3	1
103830:49	"he, he's, he, the only thing 0 he's shown interest in * wanting *-1 to play *t*-2 is the drums"	the only thing 0 he's shown interest in * wanting *-1 to play *t*-2	0 he's shown interest in * wanting *-1 to play *t*-2	the only thing 0 he's shown interest in * wanting *-1 to play *t*-2	is	the	thing	empty	copula	adjacent	unique	0	he	3pro	7		1351	" ""FEMALE"""	1955	35	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	48	69	B	3159	369	MAGAZINES	2	2	2
113173:9	that's the first thing 0 he wanted *t*-1.	the first thing 0 he wanted *t*-1	0 he wanted *t*-1	that	is	the	thing	empty	copula	adjacent	unique	0	he	3pro	2		1388	" ""MALE"""	1967	23	" ""NORTH MIDLAND"""	3	" ""CASH"""	9	20	A	3288	318	AUTO REPAIRS	1	1	1
117607:5	"so the last thing 0 he did *t*-1 was, when i had sat out a whole lot of begonias in the backyard, and he dug them all up and brought them to the porch *t*-2."	the last thing 0 he did *t*-1	0 he did *t*-1	the last thing 0 he did *t*-1	was	the	thing	empty	copula	adjacent	unique	0	he	3pro	2		1400	" ""FEMALE"""	1942	48	" ""MIXED"""	2	" ""CASH"""	37	57	A	3333	312	CRIME	1	1	1
31437:157	"but, um, in many, many cases whether or not an individual has a problem with drugs, it's not even going *-1 to effect anybody but his, uh, you know, himself and his own family, perhaps, um, depending on the kind of drug 0 he might be on *t*-2."	the kind of drug 0 he might be on *t*-2	0 he might be on *t*-2	it	is	the	kind	empty	copula	adjacent	definite	0	he	3pro	4		1140	" ""MALE"""	1941	49	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	134	245	B	2423	364	HOBBIES AND CRAFTS	2	2	1
54817:29	but he's always a lot of fun in every movie 0 he's in *t*-1.	every movie 0 he's in *t*-1	0 he's in *t*-1	he	is	every	movie	nonempty	copula	adjacent	pronoun	0	he	3pro	2		1093	" ""FEMALE"""	1960	30	" ""NORTH MIDLAND"""	2	" ""GIFT"""	27	56	A	2603	356	EXERCISE AND FITNESS	2	1	1
65587:44	"he's a basketball fan because he, he plays for the high school 0 he goes to *t*-1"	the high school 0 he goes to *t*-1	0 he goes to *t*-1	he	is	the	school	nonempty	copula	adjacent	definite	0	he	3pro	3		1084	" ""MALE"""	1959	31	" ""WESTERN"""	3	" ""GIFT"""	20	35	B	2717	322	CAPITAL PUNISHMENT	1	1	1
80668:23	"well, uh, i know that the coverage 0 he was allowed *-1 to present *t*-2 was slanted,"	the coverage 0 he was allowed *-1 to present *t*-2	0 he was allowed *-1 to present *t*-2	the coverage 0 he was allowed *-1 to present *t*-2	was	the	coverage	nonempty	copula	adjacent	definite	0	he	3pro	5		1002	" ""FEMALE"""	1963	27	" ""SOUTHERN"""	2	" ""GIFT"""	178	338	B	2913	348	MOVIES	2	2	1
89877:41	"which, *t*-2 inside was basically a store house of a bunch of stuff 0 he collected *t*-1,"	stuff 0 he collected *t*-1	0 he collected *t*-1	which	was	stuff	stuff	empty	copula	adjacent	indefinite	0	he	3pro	2		1278	" ""MALE"""	1956	34	" ""SOUTHERN"""	0	" ""GIFT"""	51	103	B	3067	331	FAMILY REUNIONS	3	1	1
99704:3	"the other thing 0 he does *t*-1, that my husband a real stickler about *t*-2 is 0 we don't collect our grass clippings."	"the other thing 0 he does *t*-1, that my husband a real stickler about *t*-2"	0 he does *t*-1	"the other thing 0 he does *t*-1, that my husband a real stickler about *t*-2"	is	the	thing	empty	copula	adjacent	definite	0	he	3pro	2		1316	" ""FEMALE"""	1951	39	" ""NORTHERN"""	3	" ""CASH"""	76	120	A	3133	327	UNIVERSAL PBLIC SERV	1	1	2
869:33:00	"and then i realize, oh, no, this is something 0 i solicited *t*-1,"	something 0 i solicited *t*-1	0 i solicited *t*-1	i	is	something	something	empty	copula	adjacent	pronoun	0	i	1pro	2		1119	" ""MALE"""	1946	44	" ""MIXED"""	3	" ""CASH"""	2	7	B	2012	336	RIGHT TO PRIVACY	2	2	2
1143:56:00	"because i, any, anyone, any friend, anyone 0 i give my number to *t*-1 is welcome *-2 to call me,"	anyone 0 i give my number to *t*-1	0 i give my number to *t*-1	"any friend, anyone 0 i give my number to *t*-1"	is	anyone	anyone	empty	copula	adjacent	pronoun	0	i	1pro	5		1110	" ""MALE"""	1961	29	" ""WESTERN"""	3	" ""CASH"""	101	185	A	2012	336	RIGHT TO PRIVACY	2	2	2
1160:09:00	that was the big one 0 i'm talking about *t*-1.	the big one 0 i'm talking about *t*-1	0 i'm talking about *t*-1	that	was	the	one	empty	copula	adjacent	definite	0	i	1pro	3		1122	" ""MALE"""	1964	26	" ""SOUTH MIDLAND"""	9	" ""GIFT"""	3	12	A	2015	336	RIGHT TO PRIVACY	1	1	1
1730:03:00	"the one thing 0 i do object to *t*-1 about rap music is, is when it becomes militant *t*-2, or, if it's, uh, violence oriented."	the one thing 0 i do object to *t*-1 about rap music	0 i do object to *t*-1 about rap music	the one thing 0 i do object to *t*-1 about rap music	is	the	thing	empty	copula	adjacent	unique	0	i	1pro	7		1169	" ""MALE"""	1961	29	" ""NORTH MIDLAND"""	2	" ""CASH"""	20	39	B	2020	308	MUSIC	3	1	1
4421:09:00	"this is the first call 0 i've done *t*-1,"	the first call 0 i've done *t*-1	0 i've done *t*-1	this	is	the	call	nonempty	copula	adjacent	unique	0	i	1pro	2		1179	" ""FEMALE"""	1959	31	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	64	111	B	2041	356	EXERCISE AND FITNESS	3	2	2
4956:09:00	that's something 0 i do *t*-1	something 0 i do *t*-1	0 i do *t*-1	that	is	something	something	empty	copula	adjacent	pronoun	0	i	1pro	2		1000	" ""FEMALE"""	1954	36	" ""SOUTH MIDLAND"""	1	" ""CASH"""	103	163	A	2051	312	CRIME	1	1	1
5426:12:00	"it's just something 0 i have never developed, uh, an interest in *t*-1."	"something 0 i have never developed, uh, an interest in *t*-1"	"0 i have never developed, uh, an interest in *t*-1"	it	is	something	something	empty	copula	adjacent	pronoun	0	i	1pro	7		1056	" ""MALE"""	1948	42	" ""WESTERN"""	3	" ""CASH"""	46	79	B	2060	349	NEWS MEDIA	2	2	1
6394:09:00	this is the first really large company 0 i've worked for *t*-1.	the first really large company 0 i've worked for *t*-1	0 i've worked for *t*-1	this	is	the	company	nonempty	copula	adjacent	unique	0	i	1pro	3		1096	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	68	146	B	2062	345	JOB BENEFITS	2	2	1
6754:12:00	"it's like a joke 0 i heard *t*-1 once about, uh, elephant foot soup, you know,"	"a joke 0 i heard *t*-1 once about, uh, elephant foot soup"	0 i heard *t*-1 once	it	was	a	joke	nonempty	copula	adjacent	indefinite	0	i	1pro	3		1140	" ""MALE"""	1941	49	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	95	159	A	2065	327	UNIVERSAL PBLIC SERV	1	3	1
7740:09:00	that's the only thing 0 i found *t*-1 out tonight.	the only thing 0 i found *t*-1 out tonight	0 i found *t*-1 out tonight	that	is	the	thing	empty	copula	adjacent	unique	0	i	1pro	4		1027	" ""FEMALE"""	1961	29	" ""NORTH MIDLAND"""	2	" ""CASH"""	2	2	B	2078	365	BASEBALL	2	4	2
8167:03:00	"the last one 0 i saw *t*-1 was dances of the, with the wolves, mumblex wolves."	the last one 0 i saw *t*-1	0 i saw *t*-1	the last one 0 i saw *t*-1	was	the	one	empty	copula	adjacent	unique	0	i	1pro	2		1027	" ""FEMALE"""	1961	29	" ""NORTH MIDLAND"""	2	" ""CASH"""	170	262	B	2078	365	BASEBALL	2	4	2
8452:30:00	"and, and that's kind of the plan 0 i have *t*-1"	the plan 0 i have *t*-1	0 i have *t*-1	that	is	the	plan	nonempty	copula	adjacent	definite	0	i	1pro	2	could arguably be a possessive 	1000	" ""FEMALE"""	1954	36	" ""SOUTH MIDLAND"""	1	" ""CASH"""	31	90	A	2079	343	HOUSES	2	1	2
101264:27	"that, that's about the same boat 0 i'm in *t*-1, too."	"the same boat 0 i'm in *t*-1, too"	"0 i'm in *t*-1, too"	that	is	the	boat	nonempty	copula	adjacent	definite	0	i	1pro	3		1290	" ""FEMALE"""	1952	38	" ""NORTHERN"""	3	" ""CASH"""	35	45	A	3142	316	RESTAURANTS	1	1	1
102782:7	"and, one place 0 i'd never been *t*-3 that i would really like *-1 to go to *t*-2, uh, is lawry's."	one place 0 i'd never been *t*-3 	0 i'd never been *t*-3 	one place 0 i'd never been *t*-3 that i would really like *-1 to go to *t*-2	is	one	place	empty	copula	adjacent	indefinite	0	i	1pro	3	"There are two ways of reading this. This was not in the original data, but I thought it could be helpful.  I read this as having two RCs modifying the same head.  The second one is ""that I would really like to go to"".  I'm adding a new row for it."	1320	" ""FEMALE"""	1962	28	" ""MIXED"""	1	" ""CASH"""	22	42	B	3152	308	MUSIC	1	1	1
103135:12	usually it's the other phone 0 i have trouble with *t*-1.	the other phone 0 i have trouble with *t*-1	0 i have trouble with *t*-1	it	is	the	phone	nonempty	copula	adjacent	definite	0	i	1pro	4		1288	" ""MALE"""	1946	44	" ""NORTH MIDLAND"""	3	" ""CASH"""	20	41	B	3154	335	RECYCLING	2	2	3
103967:58	"well i'll have *-1 to say 0 i'm, i'm, the only one 0 i'm good at *t*-2 at this point is the newspaper. uh, * taking that to the boy scouts and my aluminum cans uh, * getting rid *-3 of those,"	the only one 0 i'm good at *t*-2 at this point	0 i'm good at *t*-2 at this point	the only one 0 i'm good at *t*-2 at this point	am	the	one	empty	copula	adjacent	unique	0	i	1pro	6		1410	" ""FEMALE"""	1955	35	" ""SOUTH MIDLAND"""	2	" ""CASH"""	12	52	B	3161	301	AIDS	2	2	3
104084:19	"but, i, the thing 0 i don't understand *t*-1 about that is, like when,"	the thing 0 i don't understand *t*-1 about that	0 i don't understand *t*-1 about that	the thing 0 i don't understand *t*-1 about that	is	the	thing	empty	copula	adjacent	definite	0	i	1pro	7		1361	" ""FEMALE"""	1966	24	" ""WESTERN"""	2	" ""CASH"""	16	51	B	3168	354	DRUG TESTING	2	2	2
