Item_ID	Sentence	NP	RC	MatSubj	MatV	Det	HeadNoun	HeadSpecificity	Matrix Clause Type	Adjacency	Type of Antecedent	Relativizer	RClength	CorrectedRClength	Comments	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_Age	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
128416:9	"i have an eleven year old 0 *t*-1 is my oldest,"	an eleven year old 0 *t*-1 is my oldest	0 *t*-1 is my oldest	i	have	an	old	nonempty	possessive	adjacent	indefinite	0	5	3		1428	" ""MALE"""	1971	19	" ""SOUTHERN"""	2	" ""CASH"""	103	158	A	3503	322	CAPITAL PUNISHMENT	2	3	3
137061:9	i have a little baby 0 *t*-1 thinks 0 he needs *-2 to cry now that i'm on the phone.	a little baby 0 *t*-1 thinks 0 he needs *-2 to cry now that i'm on the phone	0 *t*-1 thinks 0 he needs *-2 to cry now that i'm on the phone	i	have	a	baby	nonempty	possessive	adjacent	indefinite	0	16	14		1447	" ""FEMALE"""	1950	40	" ""SOUTH MIDLAND"""	3	" ""CASH"""	32	44	A	3658	342	UNIVERSAL HEALTH INS	1	1	2
145190:48	"so for about twenty min-, twenty, thirty minutes a day we got a baby-sitter 0 *t*-1 comes in."	a baby-sitter 0 *t*-1 comes in	0 *t*-1 comes in	we	got	a	baby-sitter	nonempty	possessive	adjacent	indefinite	0	4	2		1461	" ""FEMALE"""	1962	28	" ""WESTERN"""	2	" ""CASH"""	1	1	A	3883	303	CLOTHING AND DRESS	1	1	1
151884:46	"and i have one brother and his wife live in greenville, and, uh, another brother that *t*-1 lives in, outside of fayetteville."	"another brother that *t*-1 lives in, outside of fayetteville"	"that *t*-1 lives in, outside of fayetteville"	i	have	another	brother and his wife	nonempty	possessive	adjacent	indefinite	0	7	3	"two RCs in this example, so added an entry for this one"	1533	" ""MALE"""	1965	25	" ""NORTH MIDLAND"""	3	" ""CASH"""	23	37	A	4080	314	GUN CONTROL	1	3	1
163814:28	"that does, that's something 0 you don't, *t*-1 doesn't even sound good *-2 loud really. you know."	"something 0 you don't, *t*-1 doesn't even sound good *-2 loud really"	"0 you don't, *t*-1 doesn't even sound good *-2 loud really"	that	does	something	something	empty	copula	2	pronoun	0	13	11		1291	" ""FEMALE"""	1945	45	" ""NYC"""	3	" ""CASH"""	109	181	B	4353	357	FAMILY FINANCE	2	2	1
164819:13	"it's basically anything that *t*-2's south of downtown, they don't bother *-1 to cover *t*-3."	anything that *t*-2's south of downtown	that *t*-2's south of downtown	it	do	anything	anything	empty	cleft	4	pronoun	0	6	5	"two RCs in this example, so added an entry for this one; analysis debatable"	1572	" ""MALE"""	1961	29	" ""NORTHERN"""	2	" ""CASH"""	22	50	B	4364	336	RIGHT TO PRIVACY	1	1	1
59151:12	when my mother's age it was always the kids and the family and everything 0 *t*-2 had *-1 to come first	the kids and the family and everything	0 *t*-2 had *-1 to come first			the	everything	empty	cleft	adjacent	pronoun	0	5	6	"subj RC with 0 relativer; also, coordinated head"	1096	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	71	133	A	2640	341	TRIAL BY JURY	3	2	2
662:42:00	"um, i, i noticed yesterday in the paper, something 0 *t*-1 said that it,"	something 0 *t*-1 said that it	0 *t*-1 said that it	i	noticed	something	something	empty	other	adjacent	pronoun	0	5	3	RC severely truncated	1027	" ""FEMALE"""	1961	29	" ""NORTH MIDLAND"""	2	" ""CASH"""	22	34	B	2010	348	MOVIES	1	1	1
59562:36	"um, i'm, quite concerned that if you let everyone 0 *t*-1 hasn't yet used a gun in a, haven't, hasn't yet committed a felony,"	"everyone 0 *t*-1 hasn't yet used a gun in a, haven't, hasn't yet committed a felony"	"0 *t*-1 hasn't yet used a gun in a, haven't, hasn't yet committed a felony"	you	let	everyone	everyone	empty	other	adjacent	pronoun	0	18	13		1235	" ""FEMALE"""	1957	33	" ""NYC"""	3	" ""CASH"""	122	257	B	2641	351	PETS	3	2	2
120932:68	"and any time 0 there's, there is a budget cut or crunches *t*-2, it's always the small guy that, that *t*-1 gets hurt."	"the small guy that, that *t*-1 gets hurt"	"that, that *t*-1 gets hurt"	it	is	the	guy	empty	cleft	1	definite	that	5	2		1371	" ""FEMALE"""	1970	20	" ""NORTHERN"""	2	" ""CASH"""	46	65	B	3368	336	RIGHT TO PRIVACY	2	1	1
134810:33	"*-1 to be russia that, russia itself that *t*-3 was going *-4 to have them"					0	Russia	nonempty	cleft	1	definite	that	5	6	"Left truncated:  starts with ""it was just going"""	1477	" ""MALE"""	1957	33	" ""NORTH MIDLAND"""	2	" ""CASH"""	21	36	A	3607	332	HOME REPAIRS	1	1	1
158615:78	"it was actually the man in the group that, that *t*-2 did that side of it"	the man in the group	"that, that *t*-2 did that side of it"			the	man	empty	cleft	1	definite	that	5	6		1537	" ""MALE"""	1971	19	" ""SOUTHERN"""	3	" ""CASH"""	122	149	B	4175	335	RECYCLING	3	4	3
104764:48	"well, i'm, i'm glad 0 i'm not the one that *t*-1's, that *t*-2's in charge of, of * making those decisions."	"the one that *t*-1's, that *t*-2's in charge of, of * making those decisions"	"that *t*-1's, that *t*-2's in charge of, of * making those decisions"	i	'm	the	one	empty	copula	1	definite	that	14	12		1351	" ""FEMALE"""	1955	35	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	103	131	A	3174	354	DRUG TESTING	2	2	2
107924:3	"the, um, thing that, that *t*-1 distinguishes me a lot of the time when i have *-2 to dress real professionally for a meeting or something *t*-3 is 0 i wear a clerical collar and a suit and, uh, all of that sort of thing,"	"the, um, thing that, that *t*-1 distinguishes me a lot of the time when i have *-2 to dress real professionally for a meeting or something *t*-3"	"that, that *t*-1 distinguishes me a lot of the time when i have *-2 to dress real professionally for a meeting or something *t*-3"	"the, um, thing that, that *t*-1 distinguishes me a lot of the time when i have *-2 to dress real professionally for a meeting or something *t*-3"	is	the	thing	empty	copula	1	definite	that	24	22		1259	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""CASH"""	34	41	B	3232	324	CHOOSING A COLLEGE	1	1	1
128809:18	"uh, i guess 0 the other thing was that *t*-1 are causing a lot of the crime now is the decrease in values."	the other thing was that *t*-1 are causing a lot of the crime now	that *t*-1 are causing a lot of the crime now	the other thing was that *t*-1 are causing a lot of the crime now	is	the	thing	empty	copula	1	definite	that	10	8	"not clear how to parse this:  apparent disfluency between RC and head N, and agreement mismatch between head N and RC verb"	1438	" ""MALE"""	1959	31	" ""NORTH MIDLAND"""	3	" ""CASH"""	24	47	B	3509	322	CAPITAL PUNISHMENT	4	1	3
147674:14	"oh, what was the lady's name that *t*-1 ran a couple of *t*-2,"	the lady's name that *t*-1 ran a couple of	that *t*-1 ran a couple of			the lady's	name	nonempty	copula	1	definite	that	6	4	RC truncated	1529	" ""MALE"""	1934	56	" ""NEW ENGLAND"""	2	" ""GIFT"""	58	93	B	4019	351	PETS	1	1	1
6475:59:00	"but it should be a standard and, and not left *-1 up to either the whim or the current overhead rate t-, uh, that *t*-2's running in each department."	"the current overhead rate t-, uh, that *t*-2's running in each department"	"t-, uh, that *t*-2's running in each department"	it	be	the	rate	nonempty	other	1	definite	that	9	7		1096	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	100	195	B	2062	345	JOB BENEFITS	2	2	1
148969:35	"the mumblex says 0 we should, uh, go into the grief that, that *t*-1's there"	"the grief that, that *t*-1's there"	"that, that *t*-1's there"	we	go	the	grief	nonempty	other	1	definite	that	5	3		1501	" ""FEMALE"""	1962	28	" ""WESTERN"""	1	" ""CASH"""	51	80	A	4033	349	NEWS MEDIA	1	1	1
19346:57	"the world's getting so small that it doesn't seem *-1 to tolerate anymore any kind of the expansionism, philosophy that, that *t*-2 was here in, you know, twenty years ago."	"the expansionism, philosophy that, that *t*-2 was here in, you know, twenty years ago"	"that, that *t*-2 was here in, you know, twenty years ago"	*-1	tolerate	the	philosophy	nonempty	other	1	definite	that	11	9		1140	" ""MALE"""	1941	49	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	117	198	A	2253	311	BOOKS AND LITERATURE	3	2	2
61973:6	"see those type of people that, that *t*-2 have the most opinions, ones that *t*-1 don't know anything."	"those type of people that, that *t*-2 have the most opinions"	"that, that *t*-2 have the most opinions"	"those type of people that, that *t*-2 have the most opinions"	do	those	people	empty	other	1	definite	that	7	5		1235	" ""FEMALE"""	1957	33	" ""NYC"""	3	" ""CASH"""	138	238	B	2658	366	CONSUMER GOODS	2	3	2
86451:2	"and it's the honest citizens like ourselves that *t*-1 are responsible about use of guns, uh,"	the honest citizens like ourselves	that *t*-1 are responsible about use of guns			the	citizens	nonempty	cleft	2	definite	that	6	7		1072	" ""FEMALE"""	1941	49	" ""SOUTH MIDLAND"""	2	" ""CASH"""	72	111	B	3030	306	RECIPES/FOOD/COOKING	1	1	1
127196:16	but it's not really the kind of exercise that *-1 gets your heart rate going.	the kind of exercise that *-1 gets your heart rate going	that *-1 gets your heart rate going	it		the	kind	empty	copula	2	definite	that	7	5		1388	" ""MALE"""	1967	23	" ""NORTH MIDLAND"""	3	" ""CASH"""	26	55	B	3476	347	METRIC SYSTEM	3	1	4
136420:11	are you in the section of texas that *t*-1's been getting so much rain?	the section of texas that *t*-1's been getting so much rain	that *t*-1's been getting so much rain			the	section	nonempty	copula	2	definite	that	8	6		1459	" ""MALE"""	1947	43	" ""SOUTH MIDLAND"""	2	" ""CASH"""	10	15	B	3646	353	PUBLIC EDUCATION	2	2	2
155244:15	but i decided that the amount of information that *t*-1 would have *-2 to go in would be a lot of time * keeping that up to date.	the amount of information that *t*-1 would have *-2 to go in	that *t*-1 would have *-2 to go in	the amount of information that *t*-1 would have *-2 to go in	be	the	amount	nonempty	copula	2	definite	that	8	6		1577	" ""MALE"""	1962	28	" ""SOUTH MIDLAND"""	2	" ""CASH"""	49	98	A	4133	322	CAPITAL PUNISHMENT	4	3	2
166086:78	"because there was an article or a story done * awhile ago that, uh, trash, uh, the telephone books are the type of thing that *t*-1 don't break down over a long period of time."	the type of thing that *t*-1 don't break down over a long period of time	that *t*-1 don't break down over a long period of time	the telephone books	are	the	type	empty	copula	2	definite	that	12	10		1546	" ""MALE"""	1952	38	" ""WESTERN"""	2	" ""CASH"""	27	54	B	4382	302	AIR POLLUTION	2	1	1
166305:34	"uh, but i'm not quite sure that it's the kind of thing that *t*-1 ought *-2 to be blamed *-3 on the schools."	the kind of thing that *t*-1 ought *-2 to be blamed *-3 on the schools	that *t*-1 ought *-2 to be blamed *-3 on the schools	it	'm	the	kind	empty	copula	2	definite	that	11	9		1699	" ""MALE"""	1964	26	" ""SOUTH MIDLAND"""	1	" ""CASH"""	64	98	A	4483	335	RECYCLING	1	1	1
173671:92	"of course, if he's fallen in love with drugs and there isn't anything but * getting stoned or high is, is the only thing in life that *t*-1 seems *-2 to be meaningful, then maybe there is no hope."	the only thing in life that *t*-1 seems *-2 to be meaningful	that *t*-1 seems *-2 to be meaningful	there	getting	the	thing	empty	copula	2	definite	that	7	5		1633	" ""MALE"""	1963	27	" ""SOUTHERN"""	3	" ""GIFT"""	32	60	B	4834	336	RIGHT TO PRIVACY	2	1	1
175030:28	"and, uh, you know, that's the kind of thing that *t*-1 would definitely come up, you know."	the kind of thing that *t*-1 would definitely come up	that *t*-1 would definitely come up	that	know	the	kind	empty	copula	2	definite	that	6	4		1190	" ""MALE"""	1941	49	" ""NYC"""	3	" ""GIFT"""	17	30	A	4902	344	IMMIGRATION	1	1	1
177440:62	"but i think 0 it's, uh, it's the, uh, the amount of effort that *t*-1's required *-2 * to, uh, to stay healthy, you know."	the amount of effort that *t*-1's required *-2	that *t*-1's required *-2	it	stay	the	amount	nonempty	copula	2	definite	that	5	3		1662	" ""MALE"""	1959	31	" ""WESTERN"""	2	" ""CASH"""	94	120	B	4936	370	WOODWORKING	2	1	1
36640:5	but this thing about camping that *t*-1 bothers me is 0 you've got *-2 to pack everything	this thing about camping that *t*-1 bothers me	that *t*-1 bothers me	this thing about camping that *t*-1 bothers me	is	this	thing	empty	copula	2	definite	that	4	2		1176	" ""FEMALE"""	1959	31	" ""MIXED"""	2	" ""CASH"""	64	92	B	2455	329	WOMEN'S ROLES	1	1	1
76123:51	"and the one thing that she ended up with *t*-1 is, was the old door, that *t*-2 was, that *t*-3 was on the front door of that house"	"the old door, that *t*-2 was, that *t*-3 was on the front door of that house"	"that *t*-2 was, that *t*-3 was on the front door of that house"	the one thing that she ended up with *t*-1	ended	the	door	nonempty	copula	2	definite	that	13	11		1244	" ""FEMALE"""	1937	53	" ""SOUTHERN"""	2	" ""CASH"""	157	216	A	2851	364	HOBBIES AND CRAFTS	3	4	2
44149:50	"there's so many people *ich*-1 there that, that *t*-2 get the kind of control that *t*-3's bad, you know,"	the kind of control that *t*-3's bad	that *t*-3's bad	*t*-2	get	the	kind	empty	existential	2	definite	that	4	2	"two RCs in this example, so added an entry for this one"	1019	" ""MALE"""	1941	49	" ""NEW ENGLAND"""	3	" ""GIFT"""	107	215	A	2503	351	PETS	2	1	1
142756:7	"but, that friend of mine that *t*-1 painted his house out there in your neighborhood he went *-2 to, uh, mumblex i guess to buy his paint"	that friend of mine that *t*-1 painted his house out there in your neighborhood	that *t*-1 painted his house	he	went	that	friend	nonempty	lone head	2	definite	that	5	3		1480	" ""FEMALE"""	1959	31	" ""WESTERN"""	3	" ""CASH"""	33	35	A	3798	301	AIDS	2	2	1
172780:3	"my girlfriend, in particular, that *t*-1 works for a, a rental car agency"	"my girlfriend, in particular, that *t*-1 works for a, a rental car agency"	"that *t*-1 works for a, a rental car agency"			my	girlfriend	nonempty	lone head	2	definite	that	9	7	"arguably non-restrictive, but I counted it"	1522	" ""FEMALE"""	1968	22	" ""SOUTH MIDLAND"""	2	" ""CASH"""	67	117	A	4801	322	CAPITAL PUNISHMENT	1	1	1
24925:35	"and plus for, for the type of student that *t*-1's going to that school, it's going *-2 to raise the level of the school because your parents are engineers or chemists."	the type of student that *t*-1's going to that school	that *t*-1's going to that school	it	going	the	type	empty	lone head	2	definite	that	7	5		1142	" ""MALE"""	1963	27	" ""NORTHERN"""	2	" ""GIFT"""	24	44	B	2331	362	GOLF	1	1	1
100780:54	"and one of the plano school district's, you know, goals is that they will graduate every child that, uh, that *t*-1 is here in the ninth grade,"	"every child that, uh, that *t*-1 is here in the ninth grade"	"that, uh, that *t*-1 is here in the ninth grade"	they	graduate	every	child	nonempty	other	2	definite	that	10	8		1303	" ""FEMALE"""	1946	44	" ""NORTH MIDLAND"""	3	" ""CASH"""	137	180	A	3138	306	RECIPES/FOOD/COOKING	2	1	1
110613:34	"but i really have been spoiled *-2 by sweat pants and these new, uh, units outfits, you know, that *t*-1 are just knit,"	"these new, uh, units outfits, you know, that *t*-1 are just knit"	that *t*-1 are just knit	i	have	these	outfits	nonempty	other	2	definite	that	5	3		1305	" ""FEMALE"""	1942	48	" ""NORTH MIDLAND"""	2	" ""CASH"""	52	75	B	3254	316	RESTAURANTS	1	1	1
11301:44	"well, you know, it's cheaper than * going and buying the kind at target that *t*-1 are all ready with the little design on them or whatever."	the kind at target that *t*-1 are all ready with the little design on them or whatever	that *t*-1 are all ready with the little design on them or whatever	it	going	the	kind	empty	other	2	definite	that	13	11		1106	" ""FEMALE"""	1964	26	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	90	152	B	2111	335	RECYCLING	1	1	1
15481:43	"but he played the, uh, the, the character in it that *t*-1 was very, like, gross, i mean, very dirty,"	"the character in it that *t*-1 was very, like, gross, i mean, very dirty"	"that *t*-1 was very, like, gross, i mean, very dirty"	he	played	the	character	nonempty	other	2	definite	that	10	8		1152	" ""FEMALE"""	1947	43	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	5	4	A	2184	354	DRUG TESTING	2	1	1
159339:41	"i think 0 those should have *-1 to be paid *-2 by the corporation itself that, that *t*-3 did the damage."	"the corporation itself that, that *t*-3 did the damage"	"that, that *t*-3 did the damage"	*-1	be	the	corporation	nonempty	other	2	definite	that	6	4		1263	" ""FEMALE"""	1934	56	" ""NORTHERN"""	2	" ""GIFT"""	112	143	B	4184	351	PETS	3	1	2
168998:3	"the aids population i guess that *t*-2 have it, that *t*-1 don't know 0 they do are spreading it."	"the aids population i guess that *t*-2 have it, that *t*-1 don't know 0 they do"	that *t*-2 have it	"the aids population i guess that *t*-2 have it, that *t*-1 don't know 0 they do"	are	the	population	nonempty	other	2	definite	that	4	2	"two RCs in this example, so added an entry for other one"	1190	" ""MALE"""	1941	49	" ""NYC"""	3	" ""GIFT"""	9	17	A	4649	323	CHILD CARE	1	1	1
43110:3	even the area of the grass that *t*-1 was underneath and around the mounds it didn't kill it.	even the area of the grass that *t*-1 was underneath and around the mounds	that *t*-1 was underneath and around the mounds	it	did	the	area	nonempty	other	2	definite	that	8	6		1141	" ""MALE"""	1962	28	" ""MIXED"""	3	" ""CASH"""	164	281	A	2499	348	MOVIES	3	2	1
90727:33	"and what you do *t*-1 is * take out the last letter 0 you wrote *t*-2 that *t*-3's on the bottom and put the, your new letter on the top,"	the last letter 0 you wrote *t*-2 that *t*-3's on the bottom	that *t*-3's on the bottom		take	the	letter	nonempty	other	2	definite	that	6	4		1291	" ""FEMALE"""	1945	45	" ""NYC"""	3	" ""CASH"""	162	245	B	3069	311	BOOKS AND LITERATURE	3	3	1
93006:80	"with the mind set of the american public, i think 0 what they will do *t*-1 is * start *-5 paying mexico to take our trash. that *t*-2 isn't, that *t*-3 isn't harmful."	"our trash. that *t*-2 isn't, that *t*-3 isn't harmful"	"that *t*-2 isn't, that *t*-3 isn't harmful"	mexico	take	our	trash	nonempty	other	2	definite	that	9	7		1095	" ""MALE"""	1958	32	" ""MIXED"""	3	" ""GIFT"""	142	202	B	3080	356	EXERCISE AND FITNESS	2	1	1
44149:50	"there's so many people *ich*-1 there that, that *t*-2 get the kind of control that *t*-3's bad, you know,"	the kind of control that *t*-3's bad	that *t*-3's bad	*t*-2	get	the	kind	empty	possessive	2	definite	that	4	2	"two RCs in this example, so added an entry for other one"	1019	" ""MALE"""	1941	49	" ""NEW ENGLAND"""	3	" ""GIFT"""	107	215	A	2503	351	PETS	2	1	1
90173:37	"it's interesting, because i'm convinced 0 i have the same learning disability, or had, that *t*-1 was ignored *-2."	"the same learning disability, or had, that *t*-1 was ignored *-2"	that *t*-1 was ignored *-2	i	have	the	disability	nonempty	possessive	2	definite	that	5	3		1124	" ""MALE"""	1960	30	" ""NORTH MIDLAND"""	3	" ""CASH"""	57	93	A	3068	324	CHOOSING A COLLEGE	2	2	1
5804:02:00	"well, a lot of times it's, you know, a lot of times it's not the money that *t*-1 keeps pe-, that *t*-2 keeps people in."	the money	that *t*-2 keeps people in			the	money	nonempty	cleft	3	definite	that	3	4		1167	" ""MALE"""	1969	21	" ""NORTHERN"""	3	" ""CASH"""	103	174	A	2061	304	CREDIT CARD USE	4	5	1
22097:5	"and the one thing that we noticed *t*-1 that *t*-2 over the years has gotten worse and worse is hispanic, uh, gang crime in the city"	the one thing that we noticed *t*-1 that *t*-2 over the years has gotten worse and worse	that *t*-2 over the years has gotten worse and worse	the one thing that we noticed *t*-1 that *t*-2 over the years has gotten worse and worse	is	the	thing	empty	copula	3	definite	that	10	8		1053	" ""FEMALE"""	1967	23	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	109	155	A	2290	360	FISHING	1	1	1
33829:12	"at least the fellow that *t*-2's there, one of the fellows that *t*-1's there at night and on weekends is real helpful."	the fellow that *t*-2's there	that *t*-2's there	one of the fellows that *t*-1's there at night and on weekends	is	the	one	empty	copula	3	definite	that	4	6	"two RCs in this example, so added an entry for this one"	1115	" ""MALE"""	1958	32	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	43	66	A	2435	348	MOVIES	2	2	1
